order_id,product_id,sales
CA-2017-152156,FUR-BO-10001798,261.96
CA-2017-152156,FUR-CH-10000454,731.94
CA-2017-138688,OFF-LA-10000240,14.62
US-2016-108966,FUR-TA-10000577,957.5775
US-2016-108966,OFF-ST-10000760,22.368
CA-2015-115812,FUR-FU-10001487,48.86
CA-2015-115812,OFF-AR-10002833,7.28
CA-2015-115812,TEC-PH-10002275,907.152
CA-2015-115812,OFF-BI-10003910,18.504
CA-2015-115812,OFF-AP-10002892,114.9
CA-2015-115812,FUR-TA-10001539,1706.184
CA-2015-115812,TEC-PH-10002033,911.424
CA-2018-114412,OFF-PA-10002365,15.552
CA-2017-161389,OFF-BI-10003656,407.976
US-2016-118983,OFF-AP-10002311,68.81
US-2016-118983,OFF-BI-10000756,2.544
CA-2015-105893,OFF-ST-10004186,665.88
CA-2015-167164,OFF-ST-10000107,55.5
CA-2015-143336,OFF-AR-10003056,8.56
CA-2015-143336,TEC-PH-10001949,213.48
CA-2015-143336,OFF-BI-10002215,22.72
CA-2017-137330,OFF-AR-10000246,19.46
CA-2017-137330,OFF-AP-10001492,60.34
US-2018-156909,FUR-CH-10002774,71.372
CA-2016-106320,FUR-TA-10000577,1044.63
CA-2017-121755,OFF-BI-10001634,11.648
CA-2017-121755,TEC-AC-10003027,90.57
US-2016-150630,FUR-BO-10004834,3083.43
US-2016-150630,OFF-BI-10000474,9.618
US-2016-150630,FUR-FU-10004848,124.2
US-2016-150630,OFF-EN-10001509,3.264
US-2016-150630,OFF-AR-10004042,86.304
US-2016-150630,OFF-BI-10001525,6.858
US-2016-150630,OFF-AR-10001683,15.76
CA-2018-107727,OFF-PA-10000249,29.472
CA-2017-117590,TEC-PH-10004977,1097.544
CA-2017-117590,FUR-FU-10003664,190.92
CA-2016-117415,OFF-EN-10002986,113.328
CA-2016-117415,FUR-BO-10002545,532.3992
CA-2016-117415,FUR-CH-10004218,212.058
CA-2016-117415,TEC-PH-10000486,371.168
CA-2018-120999,TEC-PH-10004093,147.168
CA-2017-101343,OFF-ST-10003479,77.88
CA-2018-139619,OFF-ST-10003282,95.616
CA-2017-118255,TEC-AC-10000171,45.98
CA-2017-118255,OFF-BI-10003291,17.46
CA-2015-146703,OFF-ST-10001713,211.96
CA-2017-169194,TEC-AC-10002167,45.0
CA-2017-169194,TEC-PH-10003988,21.8
CA-2016-115742,OFF-BI-10004410,38.22
CA-2016-115742,OFF-LA-10002762,75.18
CA-2016-115742,FUR-FU-10001706,6.16
CA-2016-115742,FUR-CH-10003061,89.99
CA-2017-105816,OFF-FA-10000304,15.26
CA-2017-105816,TEC-PH-10002447,1029.95
CA-2017-111682,OFF-ST-10000604,208.56
CA-2017-111682,OFF-PA-10001569,32.4
CA-2017-111682,FUR-CH-10003968,319.41
CA-2017-111682,OFF-PA-10000587,14.56
CA-2017-111682,TEC-AC-10002167,30.0
CA-2017-111682,OFF-BI-10001460,48.48
CA-2017-111682,OFF-AR-10001868,1.68
CA-2016-135545,TEC-AC-10004633,13.98
CA-2016-135545,OFF-BI-10001078,25.824
CA-2016-135545,OFF-PA-10003892,146.73
CA-2016-135545,FUR-FU-10000397,79.76
US-2016-164175,FUR-CH-10001146,213.115
CA-2015-106376,OFF-AR-10002671,1113.024
CA-2015-106376,TEC-PH-10002726,167.968
CA-2017-119823,OFF-PA-10000482,75.88
CA-2017-106075,OFF-BI-10004654,4.616
CA-2018-114440,OFF-PA-10004675,19.05
US-2016-134026,FUR-CH-10000513,831.936
US-2016-134026,FUR-FU-10003708,97.04
US-2016-134026,OFF-ST-10004123,72.784
US-2018-118038,OFF-BI-10004182,1.248
US-2018-118038,FUR-FU-10000260,9.708
US-2018-118038,OFF-ST-10000615,27.24
US-2015-147606,FUR-FU-10003194,19.3
CA-2017-127208,OFF-AP-10002118,208.16
CA-2017-127208,OFF-BI-10002309,16.74
CA-2015-139451,OFF-AR-10002053,14.9
CA-2015-139451,OFF-ST-10002370,21.39
CA-2016-149734,OFF-EN-10000927,200.984
US-2018-119662,OFF-ST-10003656,230.376
CA-2018-140088,FUR-CH-10000863,301.96
CA-2018-155558,TEC-AC-10001998,19.99
CA-2018-155558,OFF-LA-10000134,6.16
CA-2017-159695,OFF-ST-10003442,158.368
CA-2017-109806,OFF-AR-10004930,20.1
CA-2017-109806,TEC-PH-10004093,73.584
CA-2017-109806,OFF-PA-10000304,6.48
CA-2016-149587,OFF-PA-10003177,12.96
CA-2016-149587,FUR-FU-10003799,53.34
CA-2016-149587,OFF-BI-10002852,32.96
US-2018-109484,OFF-BI-10004738,5.682
CA-2018-161018,FUR-FU-10000629,96.53
CA-2018-157833,OFF-BI-10001721,51.312
CA-2017-149223,OFF-AP-10000358,77.88
CA-2017-158568,OFF-PA-10003256,64.624
CA-2017-158568,TEC-AC-10001767,95.976
CA-2017-158568,OFF-BI-10002609,1.788
CA-2017-129903,OFF-PA-10004040,23.92
US-2016-156867,TEC-AC-10001552,238.896
US-2016-156867,FUR-FU-10004006,102.36
US-2016-156867,OFF-BI-10002794,36.882
CA-2018-119004,TEC-AC-10003499,74.112
CA-2018-119004,TEC-PH-10002844,27.992
CA-2018-119004,OFF-AR-10000390,3.304
CA-2016-129476,TEC-AC-10000844,339.96
CA-2018-146780,FUR-FU-10001934,41.96
CA-2017-128867,OFF-AR-10000380,75.96
CA-2017-128867,OFF-BI-10003981,27.24
CA-2015-115259,OFF-FA-10000621,40.096
CA-2015-115259,OFF-EN-10002600,4.72
CA-2015-115259,OFF-PA-10004965,23.976
CA-2015-115259,OFF-EN-10002504,130.464
CA-2016-110457,FUR-TA-10001768,787.53
US-2016-136476,OFF-BI-10003650,157.794
CA-2017-103730,FUR-FU-10002157,47.04
CA-2017-103730,OFF-BI-10003910,30.84
CA-2017-103730,OFF-ST-10000777,226.56
CA-2017-103730,OFF-EN-10002500,115.02
CA-2017-103730,TEC-PH-10003875,68.04
US-2015-152030,FUR-CH-10004063,600.558
US-2015-134614,FUR-TA-10004534,617.7
US-2018-107272,OFF-BI-10003274,2.388
US-2018-107272,OFF-ST-10002974,243.992
US-2017-125969,FUR-CH-10001146,81.424
US-2017-125969,FUR-FU-10003773,238.56
US-2018-164147,TEC-PH-10002293,59.97
US-2018-164147,OFF-PA-10002377,78.304
US-2018-164147,OFF-FA-10002780,21.456
CA-2017-145583,OFF-PA-10001804,20.04
CA-2017-145583,OFF-PA-10001736,35.44
CA-2017-145583,OFF-AR-10001149,11.52
CA-2017-145583,OFF-FA-10002988,4.02
CA-2017-145583,OFF-BI-10004781,76.176
CA-2017-145583,OFF-SU-10001218,65.88
CA-2017-145583,FUR-FU-10001706,43.12
CA-2017-110366,FUR-FU-10004848,82.8
CA-2018-106180,OFF-AR-10000940,8.82
CA-2018-106180,OFF-EN-10004030,10.86
CA-2018-106180,OFF-PA-10004327,143.7
CA-2018-155376,OFF-AP-10001058,839.43
CA-2016-110744,OFF-ST-10003656,671.93
CA-2015-110072,FUR-FU-10000521,93.888
CA-2017-114489,TEC-PH-10000215,384.45
CA-2017-114489,TEC-PH-10001448,149.97
CA-2017-114489,FUR-CH-10000454,1951.84
CA-2017-114489,OFF-BI-10002735,171.55
CA-2017-158834,OFF-AP-10000326,157.92
CA-2017-158834,TEC-PH-10001254,203.184
CA-2016-124919,OFF-PA-10001950,58.38
CA-2016-124919,OFF-PA-10002254,105.52
CA-2016-124919,OFF-ST-10001590,80.88
CA-2016-118948,OFF-AR-10001547,6.63
CA-2015-104269,FUR-CH-10004063,457.568
CA-2017-114104,OFF-LA-10002475,14.62
CA-2017-114104,TEC-PH-10004536,944.93
CA-2017-162733,OFF-PA-10002751,5.98
CA-2016-119697,TEC-AC-10003657,54.384
CA-2017-154508,OFF-EN-10001990,28.4
CA-2017-113817,OFF-BI-10004002,27.68
CA-2015-139892,OFF-AR-10004441,9.936
CA-2015-139892,TEC-MA-10000822,8159.952
CA-2015-139892,OFF-ST-10000991,275.928
CA-2015-139892,FUR-CH-10004287,1740.06
CA-2015-139892,OFF-AR-10002656,32.064
CA-2015-139892,OFF-AP-10002518,177.98
CA-2015-139892,TEC-PH-10003931,143.976
CA-2015-118962,OFF-PA-10000659,20.94
CA-2015-118962,OFF-PA-10001144,110.96
CA-2015-118962,FUR-CH-10003817,340.144
US-2015-100853,OFF-AP-10000891,52.448
US-2015-100853,OFF-LA-10003148,20.16
US-2018-152366,OFF-AP-10002684,97.264
US-2016-101511,FUR-CH-10004698,396.802
US-2016-101511,OFF-SU-10002189,15.88
CA-2016-137225,OFF-AR-10001940,3.28
CA-2015-166191,OFF-ST-10003455,24.816
CA-2015-166191,TEC-AC-10004659,408.744
CA-2015-158274,TEC-PH-10003273,503.96
CA-2015-158274,TEC-PH-10004896,149.95
CA-2015-158274,TEC-AC-10002345,29.0
CA-2017-105018,OFF-BI-10001890,7.16
CA-2015-123260,TEC-AC-10002323,176.8
CA-2017-157000,OFF-ST-10001328,37.224
CA-2017-157000,OFF-PA-10001950,20.016
CA-2016-102281,FUR-BO-10002613,899.136
CA-2016-102281,TEC-PH-10001552,71.76
CA-2016-102281,OFF-PA-10000061,51.84
CA-2016-102281,FUR-BO-10002545,626.352
CA-2016-102281,OFF-AR-10003514,19.9
CA-2016-131457,OFF-EN-10001509,14.28
CA-2015-140004,OFF-AR-10004685,7.408
CA-2015-140004,OFF-AR-10004027,6.048
CA-2018-107720,OFF-ST-10001414,46.26
US-2018-124303,OFF-BI-10000343,2.946
US-2018-124303,OFF-PA-10002749,16.056
CA-2018-105074,OFF-PA-10002666,21.744
CA-2015-133690,FUR-TA-10004289,218.75
CA-2015-133690,OFF-AP-10003622,2.6
US-2018-116701,OFF-AP-10003217,66.284
CA-2018-126382,FUR-FU-10002960,35.168
CA-2018-108329,TEC-PH-10001918,444.768
CA-2018-135860,OFF-ST-10000642,83.92
CA-2018-135860,TEC-PH-10001700,131.98
CA-2018-135860,OFF-BI-10003274,15.92
CA-2018-135860,OFF-FA-10000134,52.29
CA-2018-135860,OFF-ST-10001522,91.99
CA-2016-101007,TEC-AC-10001266,20.8
CA-2016-146262,OFF-LA-10004544,23.68
CA-2016-146262,FUR-BO-10004695,452.45
CA-2016-146262,TEC-PH-10002844,62.982
CA-2016-146262,TEC-MA-10000864,1188.0
CA-2016-146262,TEC-AC-10000109,89.584
CA-2017-130162,OFF-ST-10001328,93.06
CA-2017-130162,TEC-PH-10002563,302.376
CA-2016-169397,OFF-FA-10000585,5.584
CA-2016-169397,OFF-PA-10004000,22.704
CA-2016-169397,OFF-BI-10002852,19.776
CA-2016-169397,FUR-FU-10000087,72.704
CA-2016-169397,TEC-MA-10001148,479.988
CA-2016-169397,OFF-AR-10001958,27.168
CA-2016-163055,OFF-AR-10001026,2.2
CA-2016-163055,FUR-TA-10003748,622.45
CA-2016-163055,OFF-ST-10002485,21.98
US-2016-145436,FUR-CH-10004860,161.568
US-2016-145436,FUR-CH-10004477,389.696
US-2015-156216,OFF-BI-10001679,18.648
US-2018-100930,FUR-TA-10001705,233.86
US-2018-100930,FUR-TA-10003473,620.6145
US-2018-100930,OFF-BI-10001679,5.328
US-2018-100930,FUR-FU-10004017,258.072
US-2018-100930,TEC-AC-10003832,617.976
CA-2018-160514,OFF-PA-10002479,10.56
CA-2017-157749,OFF-PA-10003349,25.92
CA-2017-157749,FUR-FU-10000576,419.68
CA-2017-157749,FUR-FU-10004351,11.688
CA-2017-157749,TEC-PH-10000011,31.984
CA-2017-157749,FUR-TA-10002607,177.225
CA-2017-157749,FUR-FU-10002505,4.044
CA-2017-157749,OFF-AR-10004685,7.408
CA-2015-131926,FUR-CH-10004063,2001.86
CA-2015-131926,OFF-ST-10002276,166.72
CA-2015-131926,OFF-PA-10004082,47.88
CA-2015-131926,OFF-AP-10002945,1503.25
CA-2015-131926,OFF-PA-10000061,25.92
CA-2017-154739,FUR-CH-10002965,321.568
CA-2017-145625,OFF-PA-10004569,7.61
CA-2017-145625,TEC-AC-10003832,3347.37
CA-2017-146941,OFF-ST-10001228,80.58
CA-2017-146941,OFF-EN-10003296,361.92
US-2016-159982,FUR-FU-10002505,12.132
US-2016-159982,OFF-ST-10004804,82.368
US-2016-159982,OFF-ST-10001590,53.92
US-2016-159982,TEC-PH-10001580,647.904
CA-2018-163139,TEC-AC-10000290,20.37
CA-2018-163139,OFF-ST-10002790,221.55
CA-2018-163139,OFF-BI-10003460,17.52
US-2018-155299,OFF-AP-10002203,1.624
US-2015-106992,TEC-MA-10000822,3059.982
US-2015-106992,TEC-MA-10003353,2519.958
CA-2017-125318,TEC-PH-10001433,328.224
CA-2016-155040,TEC-AC-10004469,79.9
CA-2018-136826,OFF-AR-10003602,14.016
CA-2017-111010,OFF-FA-10003472,7.56
US-2018-145366,OFF-ST-10004180,37.208
US-2018-145366,OFF-EN-10004386,57.576
CA-2018-163979,OFF-ST-10003208,725.84
CA-2016-155334,TEC-AC-10003628,209.93
CA-2016-155334,FUR-FU-10003274,5.28
CA-2016-155334,OFF-BI-10002557,10.92
CA-2018-118136,OFF-PA-10002615,8.82
CA-2018-118136,OFF-AR-10001427,5.98
CA-2018-132976,OFF-PA-10000673,11.648
CA-2018-132976,OFF-PA-10004470,18.176
CA-2018-132976,OFF-ST-10000876,59.712
CA-2018-132976,OFF-LA-10002043,24.84
US-2016-161991,OFF-BI-10004967,2.08
US-2016-161991,TEC-PH-10001760,1114.4
CA-2016-130890,FUR-TA-10002903,1038.84
CA-2016-130883,OFF-PA-10000474,141.76
CA-2016-130883,TEC-AC-10001956,239.8
CA-2016-130883,OFF-PA-10004100,31.104
CA-2017-112697,OFF-BI-10000778,254.058
CA-2017-112697,OFF-AP-10002684,194.528
CA-2017-112697,OFF-SU-10000646,961.48
CA-2017-110772,OFF-FA-10002983,19.096
CA-2017-110772,OFF-LA-10004689,18.496
CA-2017-110772,TEC-AC-10002001,255.984
CA-2017-110772,FUR-BO-10004709,86.97
CA-2015-111451,FUR-FU-10004091,300.416
CA-2015-111451,FUR-CH-10001891,230.352
CA-2015-111451,FUR-FU-10002918,218.352
CA-2015-111451,OFF-BI-10004593,78.6
CA-2015-111451,OFF-FA-10004854,27.552
CA-2017-142545,OFF-PA-10002105,32.4
CA-2017-142545,OFF-ST-10002756,1082.48
CA-2017-142545,OFF-PA-10004243,56.91
CA-2017-142545,FUR-FU-10001861,77.6
CA-2017-142545,OFF-BI-10002706,14.28
US-2018-152380,FUR-TA-10002533,219.075
CA-2016-144253,FUR-FU-10002671,26.8
CA-2015-130960,OFF-AR-10003651,9.84
CA-2015-111003,OFF-BI-10001072,45.48
CA-2015-111003,OFF-AR-10002135,289.2
CA-2018-126774,OFF-AR-10002804,4.89
CA-2017-142902,FUR-FU-10001918,15.136
CA-2017-142902,FUR-CH-10004086,466.768
CA-2017-142902,FUR-FU-10001756,15.232
CA-2017-142902,OFF-LA-10000634,6.264
CA-2015-120887,FUR-FU-10001588,87.54
CA-2015-167850,TEC-PH-10002398,178.384
CA-2015-167850,OFF-PA-10001937,15.552
CA-2015-164259,OFF-AR-10003373,99.136
CA-2015-164973,FUR-CH-10002602,135.882
CA-2015-164973,TEC-MA-10002927,3991.98
CA-2015-164973,TEC-PH-10004093,275.94
CA-2015-164973,TEC-AC-10000892,360.0
CA-2015-164973,OFF-ST-10002974,43.57
CA-2015-156601,OFF-FA-10000624,7.16
CA-2017-162138,OFF-BI-10004593,251.52
CA-2017-162138,TEC-AC-10001908,99.99
CA-2018-153339,FUR-FU-10001967,15.992
US-2017-141544,TEC-PH-10003645,290.898
US-2017-141544,OFF-ST-10000675,54.224
US-2017-141544,FUR-CH-10003312,786.744
US-2017-141544,OFF-LA-10001074,100.24
US-2017-141544,OFF-BI-10001524,37.764
US-2017-150147,TEC-PH-10004614,82.8
US-2017-150147,OFF-BI-10001153,20.724
US-2017-150147,OFF-BI-10001982,4.896
CA-2016-137946,OFF-BI-10001922,4.752
CA-2016-137946,TEC-CO-10001449,959.984
CA-2016-137946,OFF-BI-10004140,14.368
CA-2015-129924,OFF-BI-10003314,7.712
CA-2015-129924,FUR-TA-10004575,698.352
CA-2016-128167,OFF-FA-10000490,4.96
CA-2015-122336,OFF-AR-10000122,17.856
CA-2015-122336,OFF-BI-10003656,509.97
CA-2015-122336,OFF-FA-10002780,30.992
CA-2015-122336,TEC-PH-10000702,71.928
US-2016-120712,OFF-ST-10000107,88.8
CA-2018-169901,TEC-PH-10002293,47.976
CA-2018-134306,OFF-AR-10004027,7.56
CA-2018-134306,OFF-PA-10000249,24.56
CA-2018-134306,OFF-AR-10001374,12.96
CA-2017-129714,TEC-AC-10000290,6.79
CA-2017-129714,OFF-PA-10001970,24.56
CA-2017-129714,OFF-BI-10002160,3.048
CA-2017-129714,OFF-PA-10001970,49.12
CA-2017-129714,OFF-BI-10004995,4355.168
CA-2017-138520,FUR-BO-10002268,388.704
CA-2017-138520,OFF-EN-10001137,8.26
CA-2017-138520,OFF-AR-10002399,17.04
CA-2017-138520,OFF-PA-10002713,34.4
CA-2017-130001,OFF-PA-10002666,36.24
CA-2018-155698,OFF-AP-10001124,647.84
CA-2018-155698,OFF-LA-10001158,20.7
CA-2018-144904,OFF-LA-10001158,20.7
CA-2018-144904,FUR-CH-10000785,488.646
CA-2018-144904,OFF-AR-10003732,5.56
CA-2018-144904,FUR-FU-10000023,47.12
CA-2015-123344,OFF-ST-10001713,211.96
CA-2017-155516,OFF-BI-10002412,23.2
CA-2017-155516,OFF-SU-10001225,7.36
CA-2017-155516,OFF-ST-10002406,104.79
CA-2017-155516,FUR-BO-10002545,1043.92
